103,104,104,104,104,104,104,105,104,104,104,104,104,104,104,104,104,105,132,132,132,113,115,132,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
73,52,53,52,52,52,52,71,71,52,52,52,52,52,52,52,52,54,52,52,128,130,132,112,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,52,8,8,52,52,87,87,52,52,52,53,52,52,87,52,54,52,52,65,52,67,132,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,22,18,18,23,52,87,87,52,54,86,52,52,52,103,104,104,98,98,81,118,83,132,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,22,18,18,23,52,87,87,118,52,86,52,52,53,52,54,54,132,132,97,98,99,132,132,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,52,24,24,53,52,87,87,52,52,86,52,8,52,53,52,118,38,132,132,132,132,132,132,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,52,52,70,52,52,103,103,104,104,105,52,18,52,52,52,52,52,52,52,52,55,52,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,54,52,86,52,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,52,52,52,86,52,22,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
89,119,120,121,86,119,120,120,120,120,120,120,120,120,120,120,120,120,120,121,18,18,119,120,120,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
